matrix_size,time_taken
100,.004195855
200,.012598569
300,.056626968
400,.096503521
500,.173406228
600,.303378750
700,.451043664
800,.709644808
900,.981392854
1000,1.311135440
1100,1.724780815
1200,2.404080132
1300,3.187934163
1400,3.818341963
1500,4.851300081
1600,5.691874792
1700,6.898483857
1800,8.185483896
1900,9.657644694
2000,11.321259515
2100,12.323500071
2200,15.915927529
2300,19.136565391
2400,22.001708545
2500,25.500482141
2600,29.381683377
2700,33.225876802
2800,37.942976384
2900,39.527219736
3000,40.688887192
3100,42.439601964
4100,109.550158684
5100,240.275506490
6100,431.679350140
7100,688.225297997
8100,1028.648797927
9100,1491.374810936
10000,1962.457841142
