matrix_size,time_taken
200,.012598569
300,.056626968
400,.096503521
500,.173406228
600,.303378750
700,.451043664
800,.709644808
900,.981392854
1000,1.311135440
1100,1.717441003
1200,2.404080132
1300,3.187934163
1400,3.818341963
1500,4.851300081
1600,5.691874792
1700,6.898483857
1800,8.185483896
1900,9.657644694
2000,11.321259515
2100,13.835497970
2200,15.915927529
2300,19.136565391
2400,22.001708545
2500,25.500482141
2600,29.381683377
2700,33.225876802
2800,37.942976384
2900,44.527219736
3000,51.188887192
